,PC1
0,-0.2526455763199557
1,-0.2526455763199557
2,-0.2526455763199557
3,-0.2526455763199557
4,-0.2526455763199557
5,-0.2526455763199557
6,-0.2526455763199557
7,-0.2526455763199557
8,-0.2526455763199557
9,-0.2526455763199557
10,-0.2526455763199557
11,-0.2526455763199557
12,-0.2526455763199557
13,-0.2526455763199557
14,-0.2526455763199557
15,-0.2526455763199557
16,-0.2526455763199557
17,-0.2526455763199557
18,-0.2526455763199557
19,-0.2526455763199557
20,-0.2526455763199557
21,-0.2526455763199557
22,-0.2526455763199557
23,-0.2526455763199557
24,-0.2526455763199557
25,-0.2526455763199557
26,-0.2526455763199557
27,4.800265950079158
28,2.2738101868796012
29,-0.2526455763199557
