,PC1
0,-0.1856953381770519
1,-0.1856953381770519
2,-0.1856953381770519
3,-0.1856953381770519
4,-0.1856953381770519
5,-0.1856953381770519
6,-0.1856953381770519
7,-0.1856953381770519
8,-0.1856953381770519
9,-0.1856953381770519
10,-0.1856953381770519
11,-0.1856953381770519
12,5.385164807134505
13,-0.1856953381770519
14,-0.1856953381770519
15,-0.1856953381770519
16,-0.1856953381770519
17,-0.1856953381770519
18,-0.1856953381770519
19,-0.1856953381770519
20,-0.1856953381770519
21,-0.1856953381770519
22,-0.1856953381770519
23,-0.1856953381770519
24,-0.1856953381770519
25,-0.1856953381770519
26,-0.1856953381770519
27,-0.1856953381770519
28,-0.1856953381770519
29,-0.1856953381770519
