,PC1
0,-0.42008402520840293
1,-0.42008402520840293
2,-0.42008402520840293
3,-0.42008402520840293
4,-0.42008402520840293
5,-0.42008402520840293
6,-0.42008402520840293
7,-0.42008402520840293
8,-0.42008402520840293
9,-0.42008402520840293
10,-0.42008402520840293
11,-0.42008402520840293
12,-0.42008402520840293
13,-0.42008402520840293
14,-0.42008402520840293
15,1.6803361008336117
16,1.6803361008336117
17,-0.42008402520840293
18,-0.42008402520840293
19,1.6803361008336117
20,-0.42008402520840293
21,-0.42008402520840293
22,-0.42008402520840293
23,-0.42008402520840293
24,-0.42008402520840293
25,1.6803361008336117
26,3.7807562268756265
27,-0.42008402520840293
28,-0.42008402520840293
29,-0.42008402520840293
